127.0.0.1 - - [11/Apr/2026 03:32:40] "HEAD / HTTP/1.1" 200 -
127.0.0.1 - - [11/Apr/2026 03:47:18] "GET /screens/negotiation.js HTTP/1.1" 304 -
127.0.0.1 - - [11/Apr/2026 03:47:18] "GET /screens/preferences.js HTTP/1.1" 304 -
127.0.0.1 - - [11/Apr/2026 03:47:18] "GET /api/gemini-vision.js HTTP/1.1" 200 -
127.0.0.1 - - [11/Apr/2026 03:47:18] "GET /api/gemini-live.js HTTP/1.1" 304 -
127.0.0.1 - - [11/Apr/2026 03:47:26] "GET /?authuser=0 HTTP/1.1" 304 -
127.0.0.1 - - [11/Apr/2026 03:47:31] "GET /?authuser=0 HTTP/1.1" 200 -
127.0.0.1 - - [11/Apr/2026 03:47:31] "GET /api/gemini-vision.js HTTP/1.1" 304 -
127.0.0.1 - - [11/Apr/2026 03:47:36] "GET /?authuser=0 HTTP/1.1" 304 -
127.0.0.1 - - [11/Apr/2026 03:47:49] "GET /config.js HTTP/1.1" 304 -
127.0.0.1 - - [11/Apr/2026 03:47:49] "GET /screens/analysis.js HTTP/1.1" 304 -
127.0.0.1 - - [11/Apr/2026 03:47:49] "GET /api/gemini-vision.js HTTP/1.1" 304 -
127.0.0.1 - - [11/Apr/2026 03:48:52] "GET /app.js HTTP/1.1" 304 -
127.0.0.1 - - [11/Apr/2026 03:48:52] "GET /config.js HTTP/1.1" 304 -
127.0.0.1 - - [11/Apr/2026 03:48:52] "GET /screens/analysis.js HTTP/1.1" 304 -
127.0.0.1 - - [11/Apr/2026 03:48:52] "GET /screens/capture.js HTTP/1.1" 304 -
127.0.0.1 - - [11/Apr/2026 03:48:52] "GET /api/gemini-vision.js HTTP/1.1" 200 -
127.0.0.1 - - [11/Apr/2026 03:52:52] "GET /?authuser=0 HTTP/1.1" 304 -
127.0.0.1 - - [11/Apr/2026 03:52:52] "GET /style.css HTTP/1.1" 304 -
127.0.0.1 - - [11/Apr/2026 03:52:52] "GET /app.js HTTP/1.1" 304 -
127.0.0.1 - - [11/Apr/2026 03:52:53] "GET /config.js HTTP/1.1" 304 -
127.0.0.1 - - [11/Apr/2026 03:52:53] "GET /screens/location.js HTTP/1.1" 304 -
127.0.0.1 - - [11/Apr/2026 03:52:53] "GET /screens/capture.js HTTP/1.1" 304 -
127.0.0.1 - - [11/Apr/2026 03:52:53] "GET /screens/analysis.js HTTP/1.1" 304 -
127.0.0.1 - - [11/Apr/2026 03:52:53] "GET /screens/result.js HTTP/1.1" 304 -
127.0.0.1 - - [11/Apr/2026 03:52:53] "GET /screens/negotiation.js HTTP/1.1" 304 -
127.0.0.1 - - [11/Apr/2026 03:52:53] "GET /screens/preferences.js HTTP/1.1" 304 -
127.0.0.1 - - [11/Apr/2026 03:52:53] "GET /api/gemini-vision.js HTTP/1.1" 304 -
127.0.0.1 - - [11/Apr/2026 03:52:53] "GET /api/gemini-live.js HTTP/1.1" 200 -
127.0.0.1 - - [11/Apr/2026 03:54:52] "GET /?authuser=0 HTTP/1.1" 304 -
127.0.0.1 - - [11/Apr/2026 03:54:53] "GET /app.js HTTP/1.1" 304 -
127.0.0.1 - - [11/Apr/2026 03:54:53] "GET /config.js HTTP/1.1" 304 -
127.0.0.1 - - [11/Apr/2026 03:54:53] "GET /screens/capture.js HTTP/1.1" 304 -
127.0.0.1 - - [11/Apr/2026 03:54:53] "GET /screens/analysis.js HTTP/1.1" 304 -
127.0.0.1 - - [11/Apr/2026 03:54:53] "GET /api/gemini-live.js HTTP/1.1" 200 -
127.0.0.1 - - [11/Apr/2026 03:54:53] "GET /api/gemini-vision.js HTTP/1.1" 304 -
127.0.0.1 - - [11/Apr/2026 03:56:37] "GET /config.js HTTP/1.1" 304 -
127.0.0.1 - - [11/Apr/2026 03:56:37] "GET /app.js HTTP/1.1" 304 -
127.0.0.1 - - [11/Apr/2026 03:56:37] "GET /screens/analysis.js HTTP/1.1" 304 -
127.0.0.1 - - [11/Apr/2026 03:56:37] "GET /screens/capture.js HTTP/1.1" 304 -
127.0.0.1 - - [11/Apr/2026 03:56:37] "GET /screens/location.js HTTP/1.1" 304 -
127.0.0.1 - - [11/Apr/2026 03:56:37] "GET /screens/result.js HTTP/1.1" 304 -
127.0.0.1 - - [11/Apr/2026 03:56:37] "GET /screens/negotiation.js HTTP/1.1" 200 -
127.0.0.1 - - [11/Apr/2026 03:56:37] "GET /api/gemini-vision.js HTTP/1.1" 304 -
127.0.0.1 - - [11/Apr/2026 03:56:37] "GET /screens/preferences.js HTTP/1.1" 304 -
127.0.0.1 - - [11/Apr/2026 03:56:37] "GET /api/gemini-live.js HTTP/1.1" 200 -
127.0.0.1 - - [11/Apr/2026 03:57:04] "GET /?authuser=0 HTTP/1.1" 304 -
127.0.0.1 - - [11/Apr/2026 03:57:04] "GET /style.css HTTP/1.1" 304 -
127.0.0.1 - - [11/Apr/2026 03:57:04] "GET /screens/negotiation.js HTTP/1.1" 304 -
127.0.0.1 - - [11/Apr/2026 03:57:05] "GET /api/gemini-live.js HTTP/1.1" 304 -
127.0.0.1 - - [11/Apr/2026 03:58:21] "GET /app.js HTTP/1.1" 304 -
127.0.0.1 - - [11/Apr/2026 03:58:21] "GET /config.js HTTP/1.1" 304 -
127.0.0.1 - - [11/Apr/2026 03:58:21] "GET /screens/negotiation.js HTTP/1.1" 304 -
127.0.0.1 - - [11/Apr/2026 03:58:21] "GET /screens/analysis.js HTTP/1.1" 304 -
127.0.0.1 - - [11/Apr/2026 03:58:21] "GET /screens/capture.js HTTP/1.1" 304 -
127.0.0.1 - - [11/Apr/2026 03:58:21] "GET /api/gemini-live.js HTTP/1.1" 200 -
127.0.0.1 - - [11/Apr/2026 03:58:21] "GET /api/gemini-vision.js HTTP/1.1" 304 -
127.0.0.1 - - [11/Apr/2026 03:59:23] "GET /?authuser=0 HTTP/1.1" 304 -
127.0.0.1 - - [11/Apr/2026 03:59:23] "GET /screens/negotiation.js HTTP/1.1" 304 -
127.0.0.1 - - [11/Apr/2026 03:59:23] "GET /api/gemini-vision.js HTTP/1.1" 304 -
127.0.0.1 - - [11/Apr/2026 03:59:23] "GET /api/gemini-live.js HTTP/1.1" 200 -
127.0.0.1 - - [11/Apr/2026 04:00:41] "GET /config.js HTTP/1.1" 304 -
127.0.0.1 - - [11/Apr/2026 04:00:41] "GET /app.js HTTP/1.1" 304 -
127.0.0.1 - - [11/Apr/2026 04:00:41] "GET /screens/capture.js HTTP/1.1" 304 -
127.0.0.1 - - [11/Apr/2026 04:00:41] "GET /screens/analysis.js HTTP/1.1" 304 -
127.0.0.1 - - [11/Apr/2026 04:00:41] "GET /screens/negotiation.js HTTP/1.1" 304 -
127.0.0.1 - - [11/Apr/2026 04:00:41] "GET /api/gemini-vision.js HTTP/1.1" 200 -
127.0.0.1 - - [11/Apr/2026 04:00:41] "GET /api/gemini-live.js HTTP/1.1" 200 -
127.0.0.1 - - [11/Apr/2026 04:01:48] "GET /style.css HTTP/1.1" 304 -
127.0.0.1 - - [11/Apr/2026 04:01:48] "GET /screens/location.js HTTP/1.1" 304 -
127.0.0.1 - - [11/Apr/2026 04:01:48] "GET /screens/preferences.js HTTP/1.1" 304 -
127.0.0.1 - - [11/Apr/2026 04:01:48] "GET /screens/negotiation.js HTTP/1.1" 304 -
127.0.0.1 - - [11/Apr/2026 04:01:48] "GET /api/gemini-vision.js HTTP/1.1" 304 -
127.0.0.1 - - [11/Apr/2026 04:01:48] "GET /screens/result.js HTTP/1.1" 304 -
127.0.0.1 - - [11/Apr/2026 04:01:48] "GET /api/gemini-live.js HTTP/1.1" 200 -
127.0.0.1 - - [11/Apr/2026 04:03:20] "GET /config.js HTTP/1.1" 304 -
127.0.0.1 - - [11/Apr/2026 04:03:20] "GET /app.js HTTP/1.1" 304 -
127.0.0.1 - - [11/Apr/2026 04:03:21] "GET /screens/analysis.js HTTP/1.1" 304 -
127.0.0.1 - - [11/Apr/2026 04:03:21] "GET /screens/capture.js HTTP/1.1" 304 -
127.0.0.1 - - [11/Apr/2026 04:03:21] "GET /screens/negotiation.js HTTP/1.1" 304 -
127.0.0.1 - - [11/Apr/2026 04:03:21] "GET /api/gemini-vision.js HTTP/1.1" 200 -
127.0.0.1 - - [11/Apr/2026 04:03:21] "GET /api/gemini-live.js HTTP/1.1" 200 -
127.0.0.1 - - [11/Apr/2026 04:05:00] "GET /?authuser=0 HTTP/1.1" 304 -
127.0.0.1 - - [11/Apr/2026 04:05:00] "GET /screens/negotiation.js HTTP/1.1" 304 -
127.0.0.1 - - [11/Apr/2026 04:05:00] "GET /api/gemini-vision.js HTTP/1.1" 200 -
127.0.0.1 - - [11/Apr/2026 04:05:00] "GET /api/gemini-live.js HTTP/1.1" 200 -
127.0.0.1 - - [11/Apr/2026 04:06:25] "GET /config.js HTTP/1.1" 304 -
127.0.0.1 - - [11/Apr/2026 04:06:25] "GET /app.js HTTP/1.1" 304 -
127.0.0.1 - - [11/Apr/2026 04:06:25] "GET /screens/result.js HTTP/1.1" 304 -
127.0.0.1 - - [11/Apr/2026 04:06:25] "GET /screens/location.js HTTP/1.1" 304 -
127.0.0.1 - - [11/Apr/2026 04:06:25] "GET /screens/capture.js HTTP/1.1" 304 -
127.0.0.1 - - [11/Apr/2026 04:06:25] "GET /screens/analysis.js HTTP/1.1" 304 -
127.0.0.1 - - [11/Apr/2026 04:06:25] "GET /screens/preferences.js HTTP/1.1" 304 -
127.0.0.1 - - [11/Apr/2026 04:06:25] "GET /screens/negotiation.js HTTP/1.1" 304 -
127.0.0.1 - - [11/Apr/2026 04:06:25] "GET /api/gemini-live.js HTTP/1.1" 200 -
127.0.0.1 - - [11/Apr/2026 04:06:25] "GET /api/gemini-vision.js HTTP/1.1" 200 -
